"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
taire	tER	tɛʁ	taire	VER	VER	""	p	ind:pre:2,inf	25.845	25.880	113.146	10.23270	1	5	3	1.3	1	CVVCV	CVC	8	159	0	7	tER	1	CVC	4	3	taire	"0-1-1"	/tai(re).re	95	21	713.3913043	0.053219646	0.08
travaillez	tRavaje	tʁavaje	travailler	VER	VER	""	p	imp:pre:2,ind:pre:2	25.832	25.832	520.703	10.47918	0	10	7	2.15	1.75	CCVCVVCCVC	CCVCVYV	2	3	0	9	tRa-va-je	3	CCV-CV-YV	0	7	""	""	""	92	26	726.5416667	-0.178339099	0
laver	lave	lave	laver	VER	VER	""	p	inf,	25.820	25.965	51.003	9.85915	1	5	4	1	1	CVCVC	CVCV	17	21	0	9	la-ve	2	CV-CV	5	4	laver	"0-1-1"	/lave.er	100	19	587.9583333	-0.843125137	0
souvenir	suv°niR	suvəniʁ	souvenir	NOM	VER,NOM	m	s	""	25.810	58.051	65.370	20.07502	1	8	7	2.25	2.2	CVVCVCVC	CVCVVCVC	1	1	1	2	su-v°-niR	3	CV-CV-CVC	7	7	venir	"1-1-1"	_sou(s)/ven(ir).ir	100	18	557.64	-0.801984175	0
fausse	fos	fos	faux	ADJ	ADJ,VER,NOM	f	s	""	25.753	26.547	138.630	9.98928	0	6	3	1.5	1	CVVCCV	CVC	4	23	2	4	fos	1	CVC	0	0	""	""	""	95	24	668.08	-0.466500685	0
ignorais	iNoRE	iɲoʁɛ	ignorer	VER	VER	""	s	ind:imp:1,ind:imp:2	25.741	25.741	165.263	9.71066	0	8	5	2.25	1.8	VCCVCVVC	VCVCV	1	3	0	3	i-No-RE	3	V-CV-CV	0	0	""	""	""	100	21	677.7826087	-0.28729001	0.041666667
coupe	kup	kup	coupe	NOM	NOM,VER	f	s	""	25.671	48.965	28.756	15.86191	1	5	3	1.1	1	CVVCV	CVC	10	73	1	4	kup	1	CVC	5	3	coup	"0-1-1"	/coup.e	100	23	669.24	-0.312459328	0
réputation	Repytasj§	ʁepytasjɔ̃	réputation	NOM	NOM	f	s	""	25.668	25.668	25.965	9.55756	1	10	9	2.2	2.1	CVVCVCVCVVC	CVCVCVCYVV	2	2	0	1	Re-py-ta-sj§	4	CV-CV-CV-CYV	7	6	{put}	"1-1-1"	_ré/{put}.ation	95	22	679.1666667	-0.240258706	0
malin	mal5	malɛ̃	malin	ADJ	ADJ,NOM	m	s	""	25.655	37.734	33.294	13.41396	1	5	4	1.3	1.05	CVCVC	CVCV	8	13	1	3	ma-l5	2	CV-CV	5	4	malin	"0-1-0"	/malin	95	22	627.9545455	-0.669648485	0.043478261
étudier	etydje	etydje	étudier	VER	VER	""	p	ind:pre:2,inf	25.642	25.655	64.326	9.00643	1	7	6	1.8	1.75	VVCVCVVC	VCVCYV	2	4	0	9	e-ty-dje	3	V-CV-CYV	7	6	étude	"0-1-1"	/étudi(er).er	100	23	586.0454545	-0.641702223	0.043478261
cent	s@	sɑ̃	cent	ADJ:num	NOM,ADJ:num	""	p	""	25.639	35.294	47.972	10.51898	1	4	2	1.3	1	CVCC	CV	9	28	1	8	s@	1	CV	4	1	cent	"0-1-1"	/cent.cent	95	24	639.4545455	-0.405538066	0.083333333
tourné	tuRne	tuʁne	tourner	VER	VER,ADJ	m	s	par:pas:,ind:imp:3	25.620	27.560	181.108	10.86191	0	6	5	1.8	1.4	CVVCCVV	CVCCV	1	7	1	11	tuR-ne	2	CVC-CV	6	5	tourner	"0-1-1"	/tourn(er).é	96	28	609.1304348	-0.575973918	0
nuits	n8i	nɥi	nuit	NOM	NOM	f	p	""	25.598	26.272	524.057	10.03827	0	5	3	1.55	1.15	CVVCC	CYV	5	11	0	4	n8i	1	CYV	0	3	""	""	""	94	19	651.0434783	-0.453201728	0.08
racontes	Rak§t	ʁakɔ̃t	raconter	VER	VER	""	""	ind:pre:2,sub:pre:2,ind:pre:1	25.589	25.595	182.981	9.87600	0	8	5	1.8	1.75	CVCVCCVC	CVCVVC	3	0	0	2	Ra-k§t	2	CV-CVC	0	0	""	""	""	100	18	678.85	-0.065729017	0.16
fort	fOR	fɔʁ	fort	ADJ	ADJ,NOM,ADV	m	s	""	25.576	179.389	97.541	46.37171	1	4	3	1.05	1	CVCC	CVC	14	63	2	10	fOR	1	CVC	4	3	fort	"0-1-0"	/fort	100	18	585.1666667	-0.896693776	0
oiseaux	wazo	wazo	oiseau	NOM	NOM	m	p	""	25.551	26.342	57.991	7.25352	0	7	4	1.8	1.75	VVCVVVC	YVCV	2	4	0	1	wa-zo	2	YV-CV	0	4	""	""	""	100	22	604.9230769	-0.744261857	0
sud	syd	syd	sud	NOM	NOM,ADJ	m	s	""	25.547	58.421	25.547	16.09920	1	3	3	1.15	1.2	CVC	CVC	13	19	1	2	syd	1	CVC	3	3	""	"0-1-0"	/sud			633.8095238	-0.483835366	0.125
risques	Risk	ʁisk	risque	NOM	NOM,VER	m	p	""	25.541	32.304	76.057	12.35456	0	7	4	1.75	1.45	CVCCVVC	CVCC	4	22	1	4	Risk	1	CVCC	0	4	""	""	""	100	28	622.12	-0.57683408	0
dépêchez	depESe	depɛʃe	dépêcher	VER	VER	""	p	imp:pre:2,ind:pre:2	25.525	25.554	82.348	8.78904	0	8	6	2.25	1.7	CVVCVVCCVC	CVCVCV	2	5	0	0	de-pE-Se	3	CV-CV-CV	0	0	""	""	""	100	20	657.5416667	-0.449460496	0.04
admettre	admEtR	admɛtʁ	admettre	VER	VER	""	""	inf,ind:pre:2	25.522	25.528	65.516	10.62156	1	8	6	2.2	1.65	VCCVCCCV	VCCVCC	1	3	0	0	ad-mEtR	2	VC-CVCC	4	4	mettre	"1-1-1"	_ad/mett(re).re	100	29	652.4782609	-0.360545379	0.041666667
billet	bijE	bijɛ	billet	NOM	NOM	m	s	""	25.522	25.522	60.987	7.65309	1	6	4	1.5	1	CVCCVC	CVYV	6	15	0	1	bi-jE	2	CV-YV	6	4	bille	"0-1-1"	/bill(e).et	100	25	648.04	-0.362748623	0
innocent	inos@	inosɑ̃	innocent	ADJ	ADJ,NOM	m	s	""	25.516	33.222	43.481	9.86375	1	8	5	2	1.85	VCCVCVCC	VCVCV	1	1	1	3	i-no-s@	3	V-CV-CV	8	5	innocent	"0-2-0"	/innoce(nt)/m/ent	100	23	635.5	-0.529456975	0
avocats	avoka	avoka	avocat	NOM	NOM	m	p	""	25.491	25.491	145.541	7.81537	0	7	5	2.6	1.85	VCVCVCC	VCVCV	1	2	0	1	a-vo-ka	3	V-CV-CV	0	5	""	""	""	95	24	607.4583333	-0.602682711	0
poitrine	pwatRin	pwatʁin	poitrine	NOM	NOM	f	s	""	25.487	25.487	26.259	9.17636	1	8	7	2.55	2.45	CVVCCVCV	CYVCCVC	0	0	0	1	pwa-tRin	2	CYV-CCVC	8	7	poitrine	"0-1-1"	/poitrin(e).e	100	25	699.56	-0.285808502	0
lorsqu'	lORsk	lɔʁsk	lorsqu'	CON	CON	""	""	""	25.481	25.487	85.671	9.20392	1	7	5	2.8	2	CVCCCV'	CVCCC	1	15	0	1	lORsk	1	CVCCC	7	5	""	""	""					
deviner	d°vine	dəvine	deviner	VER	VER	""	""	inf	25.468	25.475	80.155	10.72872	1	7	6	1.7	1.7	CVCVCVC	CVVCVCV	3	4	0	5	d°-vi-ne	3	CV-CV-CV	7	7	devin	"0-1-1"	/devin.er	100	21	631.7083333	-0.553687738	0
attrapé	atRape	atʁape	attraper	VER	VER	""	p	ind:imp:3,par:pas:	25.456	25.459	128.756	9.97091	0	7	6	2.2	1.6	VCCCVCVV	VCCVCV	0	4	0	5	a-tRa-pe	3	V-CCV-CV	0	6	""	""	""	100	17	651.3043478	-0.56288449	0
abandonne	ab@dOn	abɑ̃dɔn	abandonner	VER	VER	""	s	sub:pre:3,sub:pre:1,imp:pre:2,ind:pre:1,ind:pre:3	25.449	25.465	135.449	10.18524	0	9	6	2.05	2.15	VCVCCVCCV	VCVCVC	1	0	0	2	a-b@-dOn	3	V-CV-CVC	0	0	""	""	""	100	16	739.2173913	0.147773907	0
inquiet	"5kjE"	ɛ̃kjɛ	inquiet	ADJ	ADJ	m	s	""	25.427	26.943	48.804	10.60931	1	7	4	2.65	1.85	VCCVVVC	VCYV	0	1	0	1	"5-kjE"	2	V-CYV	6	4	quiet	"1-1-0"	_in/quiet	100	23	624.6521739	-0.436534762	0.041666667
construit	k§stR8i	kɔ̃stʁɥi	construire	VER	VER,NOM	m	s	par:pas:,ind:pre:3,ind:pre:1	25.418	25.440	73.076	9.35701	0	9	7	2.2	2.2	CVCCCCVVC	CVVCCCYV	1	0	1	3	k§s-tR8i	2	CVC-CCYV	9	8	""	""	""	100	20	665.6956522	-0.515449692	0.041666667
approche	apROS	apʁɔʃ	approche	NOM	VER,NOM	f	s	""	25.418	62.921	25.984	21.29210	1	8	5	1.75	1.75	VCCCVCCV	VCCVC	1	1	1	4	a-pROS	2	V-CCVC	8	4	proche	"1-1-0"	_a(d)/p/proche	100	16	680	-0.31268353	0
romantique	Rom@tik	ʁomɑ̃tik	romantique	ADJ	NOM,ADJ	e	s	""	25.389	28.383	28.364	9.79179	1	10	7	2.6	2.5	CVCVCCVCVV	CVCVCVC	0	0	1	3	Ro-m@-tik	3	CV-CV-CVC	10	7	Rome	"0-1-1"	/roman[t].ique	100	25	663.6	-0.569440471	0
cherchais	SERSE	ʃɛʁʃɛ	chercher	VER	VER	""	s	ind:imp:1,ind:imp:2	25.389	25.389	636.981	10.62921	0	9	5	2.2	1.65	CCVCCCVVC	CVCCV	2	5	0	3	SER-SE	2	CVC-CV	0	0	""	""	""	100	22	732.08	-0.149563958	0
intelligente	"5teliZ@t"	ɛ̃teliʒɑ̃t	intelligent	ADJ	ADJ	f	s	""	25.383	25.383	77.671	9.84691	0	12	8	2.85	2.8	VCCVCCVCVCCV	VCVCVCVC	2	1	0	1	"5-te-li-Z@t"	4	V-CV-CV-CVC	0	0	""	""	""	100	29	709.48	-0.20040213	0
revenue	R°v°ny	ʁəvəny	revenir	VER	ADJ,VER,NOM	f	s	par:pas:	25.377	26.301	579.816	10.08267	0	7	6	1.55	1.8	CVCVCVV	CVVCVVCV	6	5	2	10	R°-v°-ny	3	CV-CV-CV	7	8	""	""	""	100	27	604.0833333	-0.714362174	0
retournez	R°tuRne	ʁətuʁne	retourner	VER	VER	""	p	ind:pre:2,imp:pre:2	25.377	25.377	267.858	9.59277	0	9	7	1.8	1.75	CVCVVCCVC	CVVCVCCV	2	3	0	7	R°-tuR-ne	3	CV-CVC-CV	0	8	""	""	""	94	18	596.24	-0.637178303	0
forcément	fORsem@	fɔʁsemɑ̃	forcément	ADV	ADV	""	""	""	25.377	25.377	25.377	10.11329	1	9	7	3.1	2.8	CVCCVVCVCC	CVCCVCV	0	0	0	0	fOR-se-m@	3	CVC-CV-CV	5	5	forcer	"0-1-1"	/forc(er).ment			634.6	-0.525173494	0
venant	v°n@	vənɑ̃	venir	VER	NOM,VER	e	""	par:p	25.373	26.146	2424.339	10.95683	0	6	4	1.6	1.6	CVCVCC	CVVCV	4	7	1	1	v°-n@	2	CV-CV	4	5	venir	"0-1-1"	/ven(ir).ant	83	18	648.5	-0.335625892	0
journaliste	ZuRnalist	ʒuʁnalist	journaliste	NOM	NOM	e	s	""	25.364	25.367	37.861	6.31813	1	11	9	3	3	CVVCCVCVCCV	CVCCVCVCC	1	0	0	1	ZuR-na-list	3	CVC-CV-CVCC	11	9	jour	"0-1-2"	/jour[n].al.iste	100	16	671.4347826	-0.423192474	0.041666667
général	ZeneRal	ʒeneʁal	général	ADJ	ADJ,NOM	m	s	""	25.358	106.690	37.823	18.54562	1	7	7	2.05	1.9	CVVCVVCVC	CVCVCVC	1	0	1	5	Ze-ne-Ral	3	CV-CV-CVC	9	7	genre	"0-1-0"	/général	100	18	632.7619048	-0.54438952	0.045454545
invités	"5vite"	ɛ̃vite	invité	NOM	VER,NOM,ADJ	m	p	""	25.335	34.506	45.092	11.72076	0	7	5	1.8	1.55	VCCVCVVC	VCVCV	2	6	2	13	"5-vi-te"	3	V-CV-CV	0	5	""	""	""	84	25	599.32	-0.687404139	0
mariée	maRje	maʁje	marier	VER	NOM,ADJ,VER	f	s	par:pas:,ind:imp:3	25.326	50.013	184.310	14.34936	0	6	5	1.55	1	CVCVVVV	CVCYV	5	21	2	15	ma-Rje	2	CV-CYV	0	5	""	""	""	100	22	680.32	-0.313297502	0
moteur	mot9R	motœʁ	moteur	NOM	ADJ,NOM	m	s	""	25.323	28.016	34.725	8.11390	1	6	5	1.75	1.45	CVCVVC	CVCVC	2	9	1	3	mo-t9R	2	CV-CVC	6	2	{mot}	"0-1-0"	/{mot}	100	21	613	-0.824258714	0
prendrai	pR@dRE	pʁɑ̃dʁɛ	prendre	VER	VER	""	s	ind:fut:1	25.323	25.323	1894.187	10.45009	0	8	6	1.7	1.65	CCVCCCVV	CCVCCV	1	2	0	3	pR@-dRE	2	CCV-CCV	0	0	""	""	""	95	24	744.9166667	0.081194774	0.04
calmez	kalme	kalme	calmer	VER	VER	""	""	ind:pre:2,imp:pre:2	25.310	25.383	123.696	9.20239	0	6	5	1.55	1.25	CVCCVC	CVCCV	5	10	0	5	kal-me	2	CVC-CV	0	5	""	""	""	100	27	691.84	-0.292284479	0
caisse	kEs	kɛs	caisse	NOM	NOM	f	s	""	25.282	25.282	31.927	8.08788	1	6	3	1.35	1	CVVCCV	CVC	9	55	0	1	kEs	1	CVC	6	3	caisse	"0-1-1"	/caiss(e).e	100	21	615.625	-0.630845385	0.04
refaire	R°fER	ʁəfɛʁ	refaire	VER	VER	""	""	inf	25.187	25.206	55.630	10.35824	1	7	5	1.85	1.45	CVCVVCV	CVVCVC	3	6	0	1	R°-fER	2	CV-CVC	6	6	faire	"1-1-1"	_re/fai(re).re	100	20	655.4	-0.271273543	0
pizza	pidza	pidza	pizza	NOM	NOM	f	s	""	25.142	25.152	31.364	6.82333	1	5	5	1.9	1.95	CVCCV	CVCCV	0	0	0	1	pid-za	2	CVC-CV	5	5	""	"0-1-0"	/§pizza§	100	23	614.2916667	-0.623332606	0.076923077
centaines	s@tEn	sɑ̃tɛn	centaine	NOM	NOM	f	p	""	25.142	25.149	34.918	9.81629	0	9	5	2.05	1.65	CVCCVVCVC	CVCVC	1	5	0	1	s@-tEn	2	CV-CVC	0	5	cent	"0-1-1"	/cent.aines	88	18	753.6363636	0.150477654	0.083333333
opinion	opinj§	opinjɔ̃	opinion	NOM	NOM	f	s	""	25.130	25.130	30.278	9.34323	1	7	6	2.65	2	VCVCVVC	VCVCYVV	0	0	0	1	o-pi-nj§	3	V-CV-CYV	6	6	opinion	"0-1-1"	/opin(er).on	95	22	717.2083333	-0.025457546	0.04
rencontre	R@k§tR	ʁɑ̃kɔ̃tʁ	rencontrer	VER	VER,NOM	""	s	sub:pre:1,imp:pre:2,sub:pre:3,ind:pre:1,ind:pre:3	25.111	55.604	314.035	19.86987	0	9	6	1.7	1.75	CVCCVCCCV	CVCVVCC	1	0	1	4	R@-k§tR	2	CV-CVCC	9	7	contre	"2-1-0"	_r_en/contre	100	30	605.4166667	-0.705097944	0.04
mener	m°ne	məne	mener	VER	VER	""	p	inf,	25.111	25.123	103.528	10.33680	1	5	4	1.75	1.4	CVCVC	CVVCV	3	9	0	7	m°-ne	2	CV-CV	4	5	mener	"0-1-1"	/men(er).er	100	18	631.125	-0.466056987	0.04
peinture	p5tyR	pɛ̃tyʁ	peinture	NOM	VER,NOM	f	s	""	25.085	25.123	29.940	6.87079	1	8	5	1.55	1.55	CVVCCVCV	CVCVC	4	6	1	4	p5-tyR	2	CV-CVC	8	5	peindre	"0-1-1"	/peint.ure	100	22	612.2	-0.659755317	0
comptes	k§t	kɔ̃t	compte	NOM	VER,NOM	m	p	""	25.063	42.500	159.339	15.14238	0	7	3	1.55	1	CVCCCVC	CVVC	4	71	1	11	k§t	1	CVC	0	4	""	""	""	92	26	629.68	-0.465127976	0
jus	Zy	ʒy	jus	NOM	NOM	m	i	""	25.041	25.041	25.057	8.20423	1	3	2	1.1	1	CVC	CV	17	25	0	0	Zy	1	CV	3	2	jus	"0-1-0"	/jus			653.6666667	-0.44741759	0.04
appellent	apEl	apɛl	appeler	VER	VER	""	p	sub:pre:3,ind:pre:3,ind:pre:1	25.032	25.038	1136.405	10.40723	0	9	4	2.5	1.3	VCCVCCVCC	VCVC	0	10	0	4	a-pEl	2	V-CVC	0	4	""	""	""	95	20	695.3043478	-0.189083869	0.041666667
conférence	k§feR@s	kɔ̃feʁɑ̃s	conférence	NOM	NOM	f	s	""	25.025	25.025	27.810	7.54133	1	10	7	2.75	2.1	CVCCVVCVCCV	CVVCVCVC	0	0	0	1	k§-fe-R@s	3	CV-CV-CVC	11	8	{fér}	"1-1-1"	_con/{fér}.ence	100	19	679.36	-0.435419255	0
charge	SaRZ	ʃaʁʒ	charger	VER	NOM,VER	""	s	sub:pre:3,ind:pre:3,sub:pre:1,ind:pre:1,imp:pre:2	25.006	53.554	83.199	19.19626	0	6	4	1.6	1.2	CCVCCV	CVCC	4	36	1	4	SaRZ	1	CVCC	6	4	charge	"0-1-0"	/charge	100	18	582.625	-0.856560348	0.04
crimes	kRim	kʁim	crime	NOM	NOM	m	p	""	25.003	25.025	123.896	7.92407	0	6	4	1.4	1	CCVCVC	CCVC	8	20	0	1	kRim	1	CCVC	0	4	""	""	""	100	18	616.6521739	-0.581108959	0.08
fan	fan	fan	fan	NOM	NOM	e	s	""	24.994	25.940	41.190	8.98959	1	3	3	1	1	CVC	CVC	28	87	0	6	fan	1	CVC	3	3	""	"0-1-0"	/§fan§			640.96	-0.356493114	0
propriété	pRopRijete	pʁopʁijete	propriété	NOM	NOM	f	s	""	24.962	24.962	29.924	8.53337	1	9	10	3.35	3.2	CCVCCVVVCVV	CCVCCVYVCV	0	0	0	1	pRo-pRi-je-te	4	CCV-CCV-YV-CV	10	10	propre	"0-1-2"	/propr(e).iét.é	100	17	551.7083333	-0.886894097	0
supposé	sypoze	sypoze	supposer	VER	VER,ADJ	m	s	par:pas:,ind:imp:3	24.940	29.566	188.782	11.02725	0	7	6	2.05	1.75	CVCCVCVV	CVCVCV	0	3	1	9	sy-po-ze	3	CV-CV-CV	8	6	poser	"1-1-1"	_su(b)/p/pos(er).é	100	22	646	-0.401365294	0
médecins	mEds5	mɛdsɛ̃	médecin	NOM	NOM	m	p	""	24.918	24.924	116.006	8.18739	0	8	5	2.65	2	CVVCVCVCC	CVCCV	1	0	0	1	mEd-s5	2	CVC-CV	0	5	""	""	""	100	12	618.25	-0.509827282	0
tenté	t@te	tɑ̃te	tenter	VER	ADJ,VER	""	s	ind:imp:3,par:pas:	24.911	26.617	90.070	10.61237	0	5	4	1.45	1	CVCCVV	CVCV	6	18	1	9	t@-te	2	CV-CV	5	4	tenter	"0-1-1"	/tent(er).é	100	24	649.9583333	-0.365588525	0.04
lac	lak	lak	lac	NOM	NOM	m	s	""	24.886	27.930	24.886	6.55542	1	3	3	1	1	CVC	CVC	15	36	0	6	lak	1	CVC	3	3	lac	"0-1-0"	/lac			569.5833333	-0.831364728	0.04
proches	pROS	pʁɔʃ	proche	ADJ	NOM,ADJ	e	p	""	24.870	34.646	78.911	13.54715	0	7	4	1.6	1.2	CCVCCVC	CCVC	5	13	1	3	pROS	1	CCVC	0	3	""	""	""	100	25	637.0454545	-0.659694943	0
neige	nEZ	nɛʒ	neige	NOM	VER,NOM	f	s	""	24.826	30.503	26.921	7.52143	1	5	3	1.75	1.05	CVVCV	CVC	2	16	1	2	nEZ	1	CVC	5	3	neige	"0-1-1"	/neig(e).e	95	24	581.5416667	-0.850868269	0
incroyable	"5kRwajabl"	ɛ̃kʁwajabl	incroyable	NOM	NOM,ADJ	m	s	""	24.826	102.722	25.063	31.00429	1	10	9	2.7	2.75	VCCCVVVCCV	VCCYVYVCC	0	0	1	3	"5k-Rwa-jabl"	3	VC-CYV-YVCC	10	9	croire	"1-1-1"	_in/cro(ire)/y.able	100	22	593.3913043	-0.632332656	0.04
tien	tj5	tjɛ̃	tien	PRO:pos	ADJ:pos,PRO:pos	m	s	""	24.823	26.035	54.120	10.63227	1	4	3	1.4	1.45	CVVC	CYV	7	10	1	7	tj5	1	CYV	4	3	tien	"0-1-0"	/tien			699.0952381	-0.183963735	0.16
calmer	kalme	kalme	calmer	VER	VER	""	p	inf,	24.775	24.801	123.696	10.17606	1	6	5	1.45	1.25	CVCCVC	CVCCV	7	10	0	5	kal-me	2	CVC-CV	6	5	calme	"0-1-0"	/calm(er)	100	27	634.6521739	-0.413393531	0.041666667
commissaire	komisER	komisɛʁ	commissaire	NOM	NOM	e	s	""	24.772	24.775	25.250	3.40478	1	11	7	3.4	2	CVCCVCCVVCV	CVCVCVC	0	3	0	1	ko-mi-sER	3	CV-CV-CVC	11	6	mission	"1-1-1"	_com/miss(ion).aire	100	15	746.4	-0.100896651	0
ferez	f°Re	fəʁe	faire	VER	VER	""	""	ind:fut:2	24.741	24.750	9061.728	10.03827	0	5	4	1.6	1.8	CVCVC	CVVCV	3	6	0	0	f°-Re	2	CV-CV	0	0	""	""	""	100	19	787.7142857	0.275218474	0.125
cris	kRi	kʁi	cri	NOM	NOM	m	p	""	24.741	24.741	36.810	6.42376	0	4	3	1	1	CCVC	CCV	15	24	0	4	kRi	1	CCV	0	3	""	""	""			635.625	-0.356989238	0.04
cauchemar	koS°maR	koʃəmaʁ	cauchemar	NOM	NOM	m	s	""	24.731	24.731	34.222	9.41212	1	9	7	2.85	2.8	CVVCCVCVC	CVCVVCVC	0	0	0	1	ko-S°-maR	3	CV-CV-CVC	9	8	cauchemar	"0-1-0"	/cauchemar	95	21	618.2173913	-0.560023449	0
manque	m@k	mɑ̃k	manque	NOM	NOM,VER	m	s	""	24.728	112.747	25.228	36.31660	1	6	3	1.4	1.05	CVCCVV	CVC	7	39	1	4	m@k	1	CVC	6	3	""	"0-1-1"	/manqu(er).e	90	32	678.2	-0.138352143	0
travailles	tRavaj	tʁavaj	travailler	VER	VER	""	s	ind:pre:2,sub:pre:2	24.722	24.722	520.703	9.98775	0	10	6	1.85	1.75	CCVCVVCCVC	CCVCVY	2	20	0	4	tRa-vaj	2	CCV-CVY	0	6	""	""	""	92	26	845.9130435	0.327512642	0.041666667
paye	pEj	pɛj	payer	VER	VER,NOM	""	s	imp:pre:2,ind:pre:3,sub:pre:1,sub:pre:3,ind:pre:1	24.718	31.070	359.902	10.94611	0	4	3	1	1	CVVV	CVY	15	30	1	1	pEj	1	CVY	4	3	payer	"0-1-1"	/pay(er).e	95	21	619.76	-0.646784207	0
décide	desid	desid	décider	VER	VER	""	s	ind:pre:1,imp:pre:2,sub:pre:1,ind:pre:3,sub:pre:3	24.718	24.728	194.405	10.18065	0	6	5	1.45	1.25	CVVCVCV	CVCVC	7	33	0	2	de-sid	2	CV-CVC	0	0	""	""	""	100	20	593.6363636	-0.719299174	0
discussion	diskysj§	diskysjɔ̃	discussion	NOM	NOM	f	s	""	24.706	24.706	30.013	9.87600	1	10	8	3	2.25	CVCCVCCVVC	CVCCVCYVV	0	1	0	1	dis-ky-sj§	3	CVC-CV-CYV	6	6	discuter	"0-1-1"	/discut(er)/s.sion	95	22	652.9565217	-0.460742224	0.041666667
recommencer	R°kom@se	ʁəkomɑ̃se	recommencer	VER	VER	""	p	imp:pre:2,inf,ind:pre:2	24.677	24.699	68.671	10.12247	1	11	8	2.05	1.95	CVCVCCVCCVC	CVVCVCVCV	3	4	0	5	R°-ko-m@-se	4	CV-CV-CV-CV	11	9	commencer	"1-1-1"	_re/commenc(er).er	100	16	722.04	-0.165025363	0
corde	kORd	kɔʁd	corde	NOM	NOM,VER	f	s	""	24.665	24.744	34.823	7.27648	1	5	4	1.4	1	CVCCV	CVCC	9	42	1	4	kORd	1	CVCC	5	4	corde	"0-1-1"	/cord(e).e	94	19	709.826087	-0.371370064	0.04
crâne	kRan	kʁan	crâne	NOM	ADJ,VER,NOM	m	s	""	24.655	25.623	26.250	8.74923	1	5	4	1.8	1	CCVVCV	CCVC	1	16	2	8	kRan	1	CCVC	6	4	crâne	"0-1-0"	/crâne	100	23	596.76	-0.752321081	0
prêtre	pREtR	pʁɛtʁ	prêtre	NOM	NOM	m	s	""	24.636	24.636	31.456	5.23270	1	6	5	1.9	1.25	CCVVCCV	CCVCC	0	8	0	1	pREtR	1	CCVCC	7	3	prêtre	"0-1-1"	/prêtr(e).e	95	24	702	-0.073535177	0.04
attrape	atRap	atʁap	attraper	VER	VER,NOM	""	s	ind:pre:1,ind:pre:3,sub:pre:3,imp:pre:2,sub:pre:1	24.633	31.396	128.756	11.47734	0	7	5	1.75	1.55	VCCCVCV	VCCVC	1	19	1	4	a-tRap	2	V-CCVC	7	5	trappe	"1-1-1"	_a(d)/trap(pe).e	75	20	628.5208333	-0.484061965	0
prise	pRiz	pʁiz	prise	NOM	NOM,ADJ,VER	f	s	""	24.627	67.728	29.491	23.56859	1	5	4	1	1	CCVCV	CCVC	14	92	3	8	pRiz	1	CCVC	5	4	prendre	"0-1-1"	/pr(endre).endre	95	24	622.6363636	-0.652836038	0
ramené	Ram°ne	ʁaməne	ramener	VER	VER	m	s	par:pas:,ind:imp:3	24.627	24.630	188.269	9.96479	0	6	6	1.75	1.65	CVCVCVV	CVCVVCV	1	4	0	5	Ra-m°-ne	3	CV-CV-CV	0	4	""	""	""	100	23	727.68	-0.089342543	0
sorcière	sORsjER	sɔʁsjɛʁ	sorcier	NOM	NOM	f	s	""	24.601	25.560	39.237	4.75046	0	8	7	2.15	2.05	CVCCVVVCV	CVCCYVC	0	1	0	1	sOR-sjER	2	CVC-CYVC	0	0	""	""	""	100	19	586.375	-0.803041501	0
couloir	kulwaR	kulwaʁ	couloir	NOM	NOM	m	s	""	24.592	24.592	28.978	8.79669	1	7	6	1.65	1.75	CVVCVVC	CVCYVC	5	5	0	2	ku-lwaR	2	CV-CYVC	7	4	couler	"0-1-1"	/coul(er).oir	100	20	602.8695652	-0.544016609	0.041666667
chair	SER	ʃɛʁ	chair	NOM	ADJ,NOM	f	s	""	24.585	25.886	25.044	9.20545	1	5	3	1.65	1	CCVVC	CVC	3	43	1	13	SER	1	CVC	5	1	chair	"0-1-0"	/chair	85	35	644.5416667	-0.421538321	0.04
finie	fini	fini	finir	VER	VER,ADJ	f	s	par:pas:	24.576	27.297	539.525	10.93233	0	5	4	1.7	1.15	CVCVV	CVCV	3	11	1	10	fi-ni	2	CV-CV	0	4	""	""	""	96	27	636.2	-0.537087693	0
manteau	m@to	mɑ̃to	manteau	NOM	NOM	m	s	""	24.576	24.576	27.354	7.46326	1	7	4	1.85	1.05	CVCCVVV	CVCV	1	18	0	2	m@-to	2	CV-CV	6	4	""	"0-1-1"	/mant(e).eau	100	22	589.0769231	-0.653694355	0
